frame,success,tracker,pixel_x_bottom_center,distance_m,bbox_x,bbox_y,bbox_w,bbox_h
178,True,CSRT,2401.5,34.66717095310136,2356,1136,91,154
179,True,CSRT,2417.0,34.90166414523449,2372,1135,90,151
180,True,CSRT,2429.0,35.08320726172466,2384,1137,90,151
181,True,CSRT,2443.0,35.29500756429652,2398,1138,90,151
182,True,CSRT,2456.0,35.491679273827536,2411,1138,90,151
183,True,CSRT,2468.0,35.6732223903177,2423,1137,90,151
184,True,CSRT,2480.5,35.862329803328294,2435,1133,91,154
185,True,CSRT,2493.5,36.059001512859304,2448,1132,91,154
186,True,CSRT,2505.5,36.24054462934947,2460,1131,91,154
187,True,CSRT,2516.0,36.39939485627836,2471,1133,90,151
188,True,CSRT,2528.0,36.58093797276853,2483,1134,90,151
189,True,CSRT,2541.5,36.78517397881997,2496,1133,91,154
190,True,CSRT,2554.5,36.98184568835099,2509,1134,91,154
191,True,CSRT,2566.5,37.16338880484115,2520,1131,93,157
192,True,CSRT,2576.5,37.314674735249625,2531,1132,91,154
193,True,CSRT,2587.5,37.481089258698944,2542,1132,91,154
194,True,CSRT,2600.5,37.677760968229954,2555,1132,91,154
195,True,CSRT,2613.5,37.87443267776097,2568,1133,91,154
196,True,CSRT,2624.5,38.04084720121029,2579,1133,91,154
197,True,CSRT,2635.5,38.20726172465961,2590,1134,91,154
198,True,CSRT,2648.5,38.40393343419062,2603,1135,91,154
199,True,CSRT,2662.5,38.61573373676248,2617,1134,91,154
200,True,CSRT,2674.5,38.79727685325265,2629,1133,91,154
201,True,CSRT,2686.5,38.978819969742815,2641,1133,91,154
202,True,CSRT,2697.5,39.145234493192135,2652,1131,91,154
203,True,CSRT,2709.5,39.3267776096823,2664,1131,91,154
204,True,CSRT,2722.5,39.52344931921331,2676,1130,93,157
205,True,CSRT,2734.5,39.70499243570348,2688,1131,93,157
206,True,CSRT,2746.5,39.88653555219365,2700,1134,93,157
207,True,CSRT,2756.5,40.03782148260212,2709,1132,95,160
208,True,CSRT,2769.5,40.23449319213313,2721,1130,97,163
209,True,CSRT,2779.5,40.38577912254161,2731,1129,97,163
210,True,CSRT,2790.5,40.552193645990926,2742,1130,97,163
211,True,CSRT,2802.5,40.73373676248109,2754,1130,97,163
212,True,CSRT,2813.5,40.900151285930406,2765,1131,97,163
213,True,CSRT,2827.5,41.11195158850227,2780,1133,95,160
214,True,CSRT,2839.5,41.29349470499243,2792,1133,95,160
215,True,CSRT,2850.5,41.45990922844175,2802,1132,97,163
216,True,CSRT,2861.5,41.62632375189107,2813,1132,97,163
217,True,CSRT,2872.5,41.79273827534039,2824,1132,97,163
218,True,CSRT,2884.5,41.97428139183056,2836,1130,97,163
219,True,CSRT,2895.5,42.14069591527988,2847,1130,97,163
220,True,CSRT,2907.5,42.322239031770046,2859,1129,97,163
221,True,CSRT,2919.5,42.503782148260214,2871,1130,97,163
222,True,CSRT,2930.5,42.67019667170953,2882,1132,97,163
223,True,CSRT,2941.5,42.83661119515885,2893,1132,97,163
224,True,CSRT,2953.5,43.01815431164901,2905,1132,97,163
225,True,CSRT,2962.5,43.15431164901664,2914,1128,97,163
226,True,CSRT,2973.5,43.32072617246596,2926,1130,95,160
227,True,CSRT,2981.5,43.44175491679274,2934,1129,95,160
228,True,CSRT,2992.5,43.60816944024206,2945,1130,95,160
229,True,CSRT,3003.5,43.77458396369138,2956,1130,95,160
230,True,CSRT,3014.5,43.940998487140696,2967,1130,95,160
231,True,CSRT,3020.5,44.03177004538578,2973,1130,95,160
232,True,CSRT,3030.5,44.183055975794254,2984,1132,93,157
233,True,CSRT,3040.5,44.334341906202724,2994,1132,93,157
234,True,CSRT,3052.5,44.51588502269289,3006,1131,93,157
235,True,CSRT,3062.5,44.66717095310136,3016,1130,93,157
236,True,CSRT,3072.5,44.81845688350983,3026,1129,93,157
237,True,CSRT,3082.5,44.96974281391831,3036,1127,93,157
238,True,CSRT,3092.5,45.12102874432678,3046,1127,93,157
239,True,CSRT,3103.5,45.2874432677761,3057,1127,93,157
240,True,CSRT,3111.5,45.40847201210288,3065,1128,93,157
241,True,CSRT,3120.5,45.5446293494705,3074,1129,93,157
242,True,CSRT,3131.5,45.71104387291982,3086,1130,91,154
243,True,CSRT,3142.0,45.869894099848715,3097,1128,90,151
244,True,CSRT,3151.0,46.006051437216335,3106,1127,90,151
245,True,CSRT,3161.0,46.15733736762481,3116,1126,90,151
246,True,CSRT,3170.5,46.30105900151286,3125,1125,91,154
247,True,CSRT,3179.5,46.43721633888048,3134,1125,91,154
248,True,CSRT,3189.5,46.58850226928896,3144,1125,91,154
249,True,CSRT,3199.0,46.732223903177,3154,1127,90,151
250,True,CSRT,3209.0,46.88350983358548,3164,1128,90,151
251,True,CSRT,3220.0,47.0499243570348,3175,1128,90,151
252,True,CSRT,3229.0,47.18608169440242,3184,1127,90,151
253,True,CSRT,3238.5,47.32980332829047,3193,1125,91,154
254,True,CSRT,3248.5,47.481089258698944,3203,1123,91,154
255,True,CSRT,3258.5,47.632375189107414,3213,1122,91,154
256,True,CSRT,3268.5,47.783661119515884,3223,1121,91,154
257,True,CSRT,3278.5,47.934947049924354,3233,1121,91,154
258,True,CSRT,3287.5,48.07110438729198,3242,1121,91,154
259,True,CSRT,3297.5,48.22239031770045,3252,1120,91,154
260,True,CSRT,3306.5,48.35854765506808,3261,1117,91,154
261,True,CSRT,3316.5,48.50983358547655,3271,1114,91,154
262,True,CSRT,3325.5,48.64599092284418,3279,1111,93,157
263,True,CSRT,3335.5,48.79727685325265,3288,1107,95,160
264,True,CSRT,3343.5,48.918305597579426,3296,1106,95,160
265,True,CSRT,3349.5,49.00907715582451,3302,1103,95,160
266,True,CSRT,3378.5,49.447806354009074,3332,1090,93,157
267,True,CSRT,3379.5,49.46293494704992,3333,1089,93,157
268,True,CSRT,3387.5,49.5839636913767,3342,1093,91,154
269,True,CSRT,3395.5,49.70499243570348,3350,1092,91,154
270,True,CSRT,3402.5,49.81089258698941,3357,1084,91,154
271,True,CSRT,3413.0,49.96974281391831,3368,1081,90,151
272,True,CSRT,3423.0,50.12102874432678,3378,1075,90,151
273,True,CSRT,3431.0,50.24205748865356,3386,1070,90,151
274,True,CSRT,3440.0,50.37821482602118,3395,1068,90,151
275,True,CSRT,3448.0,50.49924357034796,3404,1063,88,148
